name,rating,review,colour,date,title,rating_score,date_parsed,language,cleaned_text,tokens,token_count,sentences,sentence_count,tokens_no_stopwords,lemmatized_tokens,lemmatized_text,pos_tags,entities,product_features,vader_neg,vader_neu,vader_pos,vader_compound,vader_sentiment,sentiment_label,dominant_topic,topic_score,doc_vector
Md Mohin,5.0 out of 5 stars,Great product Love it,Dark Teal,30 October 2025,Fastrack revoltt fs1 pro vs fastrack revoltt fs2 pro was no difference fs2 is better,5.0,2025-10-30,en,great product love it,"['great', 'product', 'love', 'it']",4,['great product love it'],1,"['great', 'product', 'love']","['great', 'product', 'love']",great product love,"[('great', 'JJ'), ('product', 'NN'), ('love', 'VB'), ('it', 'PRP')]",[],[],0.0,0.194,0.806,0.8519,positive,2,0,0.7116937702776341,"[-0.0035996490623801947, 0.0014717328594997525, -0.007761376444250345, 0.000812312588095665, 0.005461499560624361, -0.00836624950170517, 0.003365740180015564, 0.0073512159287929535, -0.006690626498311758, -9.152681013802066e-05, -0.004600701853632927, -0.0035091072786599398, -0.0029226585756987333, 0.000127270192024298, 0.0021318309009075165, -0.0025239817332476377, 0.0006560580222867429, 0.0009786528535187244, 0.0017619687132537365, -0.010533860884606838, 0.004374856594949961, 0.001462453044950962, 0.004353031516075134, 0.005312513094395399, 0.00103893899358809, -0.002314479323104024, -0.0019283153815194964, 0.0008379630744457245, -0.004164653364568949, -0.001382960588671267, 0.010239954106509686, 0.001210731454193592, 0.004311921540647745, -0.002778702648356557, -0.0026477600913494825, 0.005942740011960268, 0.0027965835761278868, 0.004399444442242384, -0.00030865566805005074, -0.0044800518080592155, 0.004839350003749132, -0.00310544203966856, -0.005779214669018984, -0.0004288512282073498, 0.0041670892387628555, 0.0011381380027160048, -0.007958090864121914, 3.3269705454586074e-05, 0.007115600630640984, -0.0022565436083823442, 0.0030438683461397886, 3.9570655644638464e-05, 0.0035350711550563574, -0.001645436161197722, -0.003282543271780014, -0.004855069797486067, -0.004900991916656494, -0.00693107396364212, -0.0014736204175278544, -0.001284520491026342, 0.005023401230573654, 0.0031995438039302826, 0.0023500167299062014, -0.0020600275602191687, -0.0013224981958046556, 0.0027719854842871428, 0.0025988148991018534, 0.0032095713540911674, -0.007050616201013327, 0.0026152555365115404, -0.0039998674765229225, 0.007573666516691446, -0.0014324510702863336, 0.0010142879327759147, 0.0029760636389255524, 0.0012633997248485684, 0.0009984048083424568, 0.006854798179119825, 0.003225370543077588, -0.004834780935198069, -0.00178990897256881, -0.005288649350404739, -0.008298090659081936, 0.006560204550623894, -0.008219835348427296, -0.004354788456112146, 0.005725366994738579, 0.00025814646505750716, 0.004433137830346823, 0.0014699188759550452, 0.004860641900449991, 0.004654090851545334, 0.004112317692488432, 0.0012809006730094552, 0.010448412038385868, -0.005177441518753767, 0.002741067437455058, 0.00025241883122362196, 0.0014035658678039908, -0.0002570276556070894]"
Krishan murari,5.0 out of 5 stars,Nice watch,Silver Metal,31 October 2025,10,5.0,2025-10-31,en,nice watch,"['nice', 'watch']",2,['nice watch'],1,"['nice', 'watch']","['nice', 'watch']",nice watch,"[('nice', 'JJ'), ('watch', 'NN')]",[],[],0.0,0.263,0.737,0.4215,positive,2,1,0.7802650706439366,"[-0.0028232214972376823, 0.007949412800371647, -0.008180608041584492, -0.005040146876126528, 0.007783400826156139, -0.005999385379254818, 0.007749207317829132, 0.01499546691775322, -0.01183498278260231, -0.004872977267950773, -0.01141385454684496, -0.01287449337542057, 0.0012222507502883673, -0.0003458301071077585, 0.004891902673989534, -0.012005078606307507, 0.0017464009579271078, 0.0022719597909599543, -0.009937833994626999, -0.017934108152985573, -0.002413497306406498, 0.0012570807011798024, 0.004490582272410393, -0.001158307772129774, -0.0007111071608960629, -0.003867459949105978, 0.0037282283883541822, -0.004494148772209883, -0.0086381109431386, 0.00419452041387558, 0.011642161756753922, -0.01150481030344963, -0.00038689805660396814, -0.010911207646131516, -0.00640783179551363, 0.010234206914901733, 0.005721165798604488, 0.00518961763009429, 0.005111458711326122, -0.009148585610091686, 0.0021451108623296022, -0.010228142142295837, -0.004293017089366913, 0.004170739091932774, 0.008292905986309052, 0.004596495069563389, -0.008594933897256851, -0.001901143928989768, 0.0033213538117706776, -1.4833174645900726e-05, 0.0035705785267055035, -0.009667902253568172, 0.0037921196781098843, -0.004191120620816946, -0.011019829660654068, 0.0010895418236032128, 0.00751105323433876, -0.0071813506074249744, -0.013056227937340736, -0.004889707546681166, 0.009045378305017948, -0.003270896151661873, 0.009753384627401829, -0.0006631335709244013, -0.0036504091694951057, 0.011799033731222153, 0.0015519525622949004, 0.01194226834923029, -0.015514323487877846, 0.003158972132951021, 0.0026566574815660715, 0.008879466913640499, 0.010131051763892174, 0.004381164908409119, 0.003899151459336281, 0.0047263894230127335, 0.004810568876564503, 0.007456288672983646, -0.0012712477473542094, 0.003358203684911132, -0.0006396921817213297, -0.005153131205588579, -0.011988716199994087, 0.0009638175833970308, -0.005502528045326471, -0.009936993941664696, 0.0031457978766411543, 0.003746671136468649, 0.011205176822841167, 0.0028014187701046467, 0.00987484771758318, 0.011619608849287033, 0.005618120543658733, -0.0018782125553116202, 0.016219807788729668, 0.00887278001755476, 0.003420190652832389, -0.008126857690513134, 0.004984991159290075, -0.008862639777362347]"
wajid,5.0 out of 5 stars,Awesome product 🥰,Black_Metal,30 October 2025,Special gift,5.0,2025-10-30,en,awesome product,"['awesome', 'product']",2,['awesome product'],1,"['awesome', 'product']","['awesome', 'product']",awesome product,"[('awesome', 'JJ'), ('product', 'NN')]",[],[],0.0,0.196,0.804,0.6249,positive,2,0,0.7820710634136279,"[-0.006425964646041393, 0.004057221580296755, -0.009365882724523544, -0.0021429213229566813, 0.008139488287270069, 0.001026951358653605, 0.004941633436828852, 0.008319046348333359, -0.006399146281182766, 0.0046600704081356525, -0.009748070500791073, -0.0007041141507215798, -0.008147574961185455, 0.004270400386303663, -0.003703760914504528, -0.006955376360565424, -0.001999269938096404, 0.005683825351297855, 0.0034522549249231815, -0.012445090338587761, 0.003594574984163046, -0.006436291616410017, 0.008796882815659046, 0.009075991809368134, -0.003370578633621335, 0.0008885369170457125, -0.00040076099685393274, 0.0042039803229272366, -0.011960347183048725, -7.905703387223184e-05, 0.009810618124902248, 0.00040989459375850856, 0.003923100885003805, -0.012414203956723213, 0.007362658623605967, -0.003021906828507781, -0.0014648488722741604, 0.004026356153190136, 0.0002374167670495808, -0.002057593548670411, 0.0018754645716398954, -0.010833938606083393, -0.009745310060679913, 0.010144076310098171, 0.009704859927296638, -0.0048102643340826035, -0.0015033098170533776, -0.0018343008123338223, 0.0078107756562530994, -0.0062777879647910595, 0.004801258910447359, 0.0022782222367823124, 0.011977631598711014, -0.006852392572909594, -0.0020440747030079365, -0.005891330540180206, -0.007741715759038925, -0.00959703978151083, -0.004265132825821638, -0.005991064943373203, 0.006217645946890116, -0.006651316769421101, 0.0029922588728368282, 0.0020659680012613535, -0.004227631725370884, 0.0017817127518355846, 0.008741926401853561, 0.013391630724072456, -0.008559979498386383, 0.011499699205160141, -0.005685765761882067, 0.007682081777602434, -0.0009732079925015569, 0.003675335319712758, 0.00628976384177804, 0.005158775951713324, -1.031847841659328e-05, 0.010938049294054508, 0.007652472238987684, -0.008847575634717941, -0.010714621283113956, -0.006151287350803614, -0.002516523702070117, 0.00020293937996029854, -0.009800776839256287, -0.00945186149328947, 0.012677173130214214, 0.0036694593727588654, -0.005181230138987303, -0.0040048873052001, 0.007075778674334288, -0.0023209634236991405, 0.007786594331264496, -0.003312006825581193, 0.0065093510784208775, -0.006029818207025528, 0.006806875113397837, 0.0026521177496761084, 0.0003484970366116613, 0.0020560729317367077]"
KK Nair,5.0 out of 5 stars,Nice watch from Fastrack... My niece loves it.,Black_Metal,5 November 2025,Astor FR2 Pro,5.0,2025-11-05,en,nice watch from fastrack... my niece loves it.,"['nice', 'watch', 'from', 'fastrack', '...', 'my', 'niece', 'loves', 'it', '.']",10,['nice watch from fastrack... my niece loves it.'],1,"['nice', 'watch', 'fastrack', '...', 'niece', 'loves', '.']","['nice', 'watch', 'fastrack', '...', 'niece', 'love', '.']",nice watch fastrack ... niece love .,"[('nice', 'JJ'), ('watch', 'NN'), ('from', 'IN'), ('fastrack', 'NN'), ('...', ':'), ('my', 'PRP$'), ('niece', 'JJ'), ('loves', 'VBZ'), ('it', 'PRP'), ('.', '.')]",[],[],0.0,0.48,0.52,0.7579,positive,2,1,0.7026963985174237,"[-0.0009689789148978889, 0.004275059327483177, -0.0039045624434947968, -0.0022752832155674696, 0.00773237319663167, -0.007754033897072077, 0.005202218424528837, 0.010161859914660454, -0.0094282953068614, -0.002582907909527421, -0.004450504668056965, -0.00816844031214714, 0.000937765697017312, 0.0021276664920151234, 0.0050447070971131325, -0.00869950745254755, 0.0022842036560177803, 0.0007627098239026964, -0.008212903514504433, -0.015393148176372051, 0.004358747508376837, 0.0025478580500930548, 0.003078629495576024, 0.0026926472783088684, 0.00026000221259891987, -0.0025728712789714336, -0.00011889923916896805, -0.0014507005689665675, -0.0042623295448720455, 0.0015398157993331552, 0.004551552701741457, -0.002878316678106785, 0.0016671367920935154, -0.008135729469358921, -0.0021983301267027855, 0.006364282686263323, 0.003938974812626839, 4.085991531610489e-05, 0.003299674717709422, -0.007639013696461916, -0.00046788566396571696, -0.006086443085223436, -0.003021110547706485, 0.0017673148540779948, 0.00490450207144022, 0.004446325358003378, -0.011443550698459148, 0.0011361836222931743, 0.00451901787891984, -0.00011097624519607052, 0.0019705069717019796, -0.005115739535540342, 0.0018292871536687016, -0.0016483388608321548, -0.004121837671846151, 0.00017133857181761414, 0.004448426887392998, -0.004337031859904528, -0.004465607460588217, 0.0018140716711059213, 0.004930006805807352, 0.0003459074068814516, 0.0014684313209727407, 0.00011105757585028186, -0.0022804036270827055, 0.00797662977129221, 1.3789007198283798e-06, 0.0061684176325798035, -0.012047245167195797, 0.0026630072388798, -0.0010156013304367661, 0.007533883210271597, 0.004180765710771084, 0.000310002826154232, 0.002494881162419915, 0.0014824578538537025, 0.004219613969326019, 0.00517673185095191, -0.0022362309973686934, -0.001381706795655191, -0.0029394987504929304, -0.0020320257171988487, -0.008652322925627232, 0.0063540940172970295, -0.006813719868659973, -0.0018922952003777027, 0.0058713085018098354, 0.00255280127748847, 0.008539389818906784, 0.002498924732208252, 0.0075760334730148315, 0.007250100374221802, 0.00507514039054513, 0.0010008751414716244, 0.010158759541809559, 0.004081604070961475, 0.0017102448036894202, -0.007839874364435673, -0.0007807675283402205, -0.0037300270050764084]"
almas farheen,5.0 out of 5 stars,"Stylish , nice design",Black_Metal,27 October 2025,Fasttract never disappoint us one of the best product,5.0,2025-10-27,en,"stylish , nice design","['stylish', ',', 'nice', 'design']",4,"['stylish , nice design']",1,"['stylish', ',', 'nice', 'design']","['stylish', ',', 'nice', 'design']","stylish , nice design","[('stylish', 'JJ'), (',', ','), ('nice', 'JJ'), ('design', 'NN')]",[],"[{'feature': 'design', 'context_before': 'nice', 'context_after': '', 'position': 3}]",0.0,0.417,0.583,0.4215,positive,2,1,0.9048219307920988,"[-0.0037430129013955593, 0.0029632134828716516, -0.0036327785346657038, -0.006103270221501589, 0.00693937111645937, -0.010646132752299309, 0.003768201218917966, 0.009750357829034328, 0.0015346263535320759, -0.0064673167653381824, -0.005968520417809486, -0.004203704185783863, -0.004914131015539169, -0.00264887441881001, 0.002788124606013298, -0.00742662139236927, -0.0015869556227698922, -0.006233718246221542, -0.005507603753358126, -0.004841393791139126, 0.003900296986103058, 0.004927683621644974, 0.007579815573990345, 0.004126023501157761, -0.0014555917587131262, 0.00262635201215744, 0.0005588639178313315, -0.0004719293210655451, -0.005343134514987469, 0.002351000439375639, 0.006311038974672556, -0.00593204190954566, 7.417390588670969e-05, -0.008284791372716427, -0.0031616028863936663, 0.009589425288140774, 0.0051688384264707565, 0.002561805071309209, -0.0013081951765343547, 6.502718315459788e-05, 0.0025902576744556427, -0.0030086669139564037, -0.002036707242950797, -0.002150576328858733, 0.006632115691900253, -0.0015023911837488413, -0.00638627028092742, -0.0028100106865167618, 0.006121850572526455, 0.0015190410194918513, 0.002694259863346815, -0.005604914855211973, 0.0010631280019879341, -0.001247970387339592, -0.0007183558773249388, 0.005207459442317486, 0.0073736272752285, -0.0012854008236899972, -0.005525354761630297, -0.004798918031156063, -1.3635028153657913e-05, -0.0004102451493963599, 0.0032659433782100677, -0.003071065526455641, -0.00013450872211251408, 0.0036632325500249863, -0.004212571773678064, 0.006543292663991451, -0.004976554773747921, 3.911438398063183e-06, -0.0013275928795337677, 0.0047641415148973465, 0.004949755966663361, 0.006128207314759493, 0.003315324429422617, -0.0020904061384499073, -0.0003893913235515356, 0.004259485751390457, -0.00257765781134367, 0.0008149839704856277, -0.002937843557447195, 0.0026782448403537273, -0.006842600181698799, 0.004588869400322437, -0.00516268378123641, -0.005369286518543959, 0.005092292092740536, 0.009887425228953362, 0.0009287671418860555, -0.00044198858086019754, 0.007393248379230499, 0.004851423669606447, 0.0031537842005491257, -0.0024730602744966745, 0.010111252777278423, 0.0059399912133812904, 0.001362181268632412, -0.0053683677688241005, -0.0037089292891323566, -0.007885461673140526]"
Tharakeswara,4.0 out of 5 stars,Nice and comfortable daily use,TEAL,6 August 2025,Fastrack,4.0,2025-08-06,en,nice and comfortable daily use,"['nice', 'and', 'comfortable', 'daily', 'use']",5,['nice and comfortable daily use'],1,"['nice', 'comfortable', 'daily', 'use']","['nice', 'comfortable', 'daily', 'use']",nice comfortable daily use,"[('nice', 'JJ'), ('and', 'CC'), ('comfortable', 'JJ'), ('daily', 'JJ'), ('use', 'NN')]",[],[],0.0,0.33,0.67,0.7269,positive,2,1,0.920314624921014,"[-0.007637892384082079, 0.006956521421670914, -0.004506888333708048, -0.005244104657322168, 0.0020519394893199205, -0.0070791710168123245, 0.0021155786234885454, 0.010156835429370403, -0.003675273386761546, -0.007968712598085403, -0.001959241693839431, -0.003132439451292157, 0.0031134337186813354, -0.004936706740409136, 0.0007105336408130825, -0.006326792761683464, -0.00039998660213313997, -0.004739934578537941, 0.00021899402781855315, -0.01066289097070694, -0.002063056221231818, -0.00022755742247682065, 0.0010585200507193804, -0.002120220335200429, -0.00196778099052608, 0.0016384251648560166, -0.0035518149379640818, -0.0008736944873817265, 0.00026091645122505724, -0.0016529663698747754, 0.0013628121232613921, -0.003162974491715431, -0.0050779059529304504, -0.005369586870074272, 0.0024144456256181, 0.008995256386697292, 0.0002050154871540144, -0.003084195079281926, 0.004269477445632219, -0.008449120447039604, 0.0031028760131448507, -0.004040563944727182, -0.005326709244400263, -0.005429734941571951, 0.006235919892787933, -0.002432179404422641, -0.0025128419511020184, -0.0024394888896495104, -0.002930697752162814, -0.0015308852307498455, -0.002598213031888008, -0.0025282606948167086, 0.002703493693843484, 0.003901504212990403, 0.001123709254898131, 0.0024702425580471754, 0.0012198329204693437, 0.00041197784594260156, -0.006700147408992052, 0.0027382131665945053, 0.00712919095531106, -0.0035509325098246336, 0.006297197658568621, -0.006190793123096228, -0.001189739559777081, 0.005784420762211084, 0.0013333108508959413, 0.0041149333119392395, -0.004036369267851114, 0.002430523280054331, 0.0018400931730866432, 0.00418288866057992, 0.004194789566099644, 0.0035882247611880302, -0.0015937885036692023, 0.004018429666757584, -0.0026664070319384336, -0.0014009353471919894, 0.001600054558366537, 0.0017645700136199594, -0.0012470261426642537, -0.0028723410796374083, -0.005659356713294983, -0.0012524070916697383, -0.0012956239515915513, -0.003656730055809021, 0.003199685364961624, 0.005659820511937141, 0.005815783981233835, 0.0006596001912839711, 0.0020717394072562456, 0.00018814408394973725, 0.00568358413875103, 0.0009095671121031046, 0.0047690472565591335, -0.0007422636263072491, 0.004194268956780434, -0.0045960270799696445, 0.0015940545126795769, -0.001756414771080017]"
